0000000601,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",19/11/2020,"Time",11:28:46
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","energy",0.00,30.00,0.05,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",-2,"%"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",5.75,"V"
"extractor",-42,"V"
"focus2",-352,"V"
"gate_delay",0.1,"uS"
"gate_width",30.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",10,"%"
"lens1",-68,"V"
"lens2",-112,"V"
"mass",40.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",30,"%"
"Data",1
"Cycle","Time","ms","energy V","SEM c/s"
0000000001,00:00:01,0000001381,   10.05,    461700
0000000001,00:00:01,0000001381,   10.10,    466500
0000000001,00:00:01,0000001381,   10.15,    463900
0000000001,00:00:01,0000001381,   10.20,    453000
0000000001,00:00:01,0000001381,   10.25,    457500
0000000001,00:00:01,0000001381,   10.30,    453200
0000000001,00:00:01,0000001381,   10.35,    452400
0000000001,00:00:01,0000001381,   10.40,    430400
0000000001,00:00:01,0000001381,   10.45,    450000
0000000001,00:00:01,0000001381,   10.50,    442400
0000000001,00:00:01,0000001381,   10.55,    437500
0000000001,00:00:01,0000001381,   10.60,    429100
0000000001,00:00:01,0000001381,   10.65,    443600
0000000001,00:00:01,0000001381,   10.70,    428800
0000000001,00:00:01,0000001381,   10.75,    430300
0000000001,00:00:01,0000001381,   10.80,    404200
0000000001,00:00:01,0000001381,   10.85,    436300
0000000001,00:00:01,0000001381,   10.90,    417100
0000000001,00:00:01,0000001381,   10.95,    412300
0000000001,00:00:01,0000001381,   11.00,    410100
0000000001,00:00:01,0000001381,   11.05,    408100
0000000001,00:00:01,0000001381,   11.10,    401900
0000000001,00:00:01,0000001381,   11.15,    414900
0000000001,00:00:01,0000001381,   11.20,    405800
0000000001,00:00:01,0000001381,   11.25,    399000
0000000001,00:00:01,0000001381,   11.30,    422800
0000000001,00:00:01,0000001381,   11.35,    408200
0000000001,00:00:01,0000001381,   11.40,    394500
0000000001,00:00:01,0000001381,   11.45,    394100
0000000001,00:00:01,0000001381,   11.50,    394900
0000000001,00:00:01,0000001381,   11.55,    398700
0000000001,00:00:01,0000001381,   11.60,    401300
0000000001,00:00:01,0000001381,   11.65,    404600
0000000001,00:00:01,0000001381,   11.70,    384900
0000000001,00:00:01,0000001381,   11.75,    389100
0000000001,00:00:01,0000001381,   11.80,    369400
0000000001,00:00:01,0000001381,   11.85,    379800
0000000001,00:00:01,0000001381,   11.90,    380700
0000000001,00:00:01,0000001381,   11.95,    368200
0000000001,00:00:01,0000001381,   12.00,    382400
0000000001,00:00:01,0000001381,   12.05,    359700
0000000001,00:00:01,0000001381,   12.10,    388400
0000000001,00:00:01,0000001381,   12.15,    369500
0000000001,00:00:01,0000001381,   12.20,    353500
0000000001,00:00:01,0000001381,   12.25,    381500
0000000001,00:00:01,0000001381,   12.30,    358600
0000000001,00:00:01,0000001381,   12.35,    363000
0000000001,00:00:01,0000001381,   12.40,    361900
0000000001,00:00:01,0000001381,   12.45,    351700
0000000001,00:00:01,0000001381,   12.50,    357800
0000000001,00:00:01,0000001381,   12.55,    357900
0000000001,00:00:01,0000001381,   12.60,    348000
0000000001,00:00:01,0000001381,   12.65,    361100
0000000001,00:00:01,0000001381,   12.70,    354900
0000000001,00:00:01,0000001381,   12.75,    342000
0000000001,00:00:01,0000001381,   12.80,    347500
0000000001,00:00:01,0000001381,   12.85,    351800
0000000001,00:00:01,0000001381,   12.90,    349000
0000000001,00:00:01,0000001381,   12.95,    342000
0000000001,00:00:01,0000001381,   13.00,    337900
0000000001,00:00:01,0000001381,   13.05,    322500
0000000001,00:00:01,0000001381,   13.10,    338900
0000000001,00:00:01,0000001381,   13.15,    333600
0000000001,00:00:01,0000001381,   13.20,    343100
0000000001,00:00:01,0000001381,   13.25,    311100
0000000001,00:00:01,0000001381,   13.30,    325400
0000000001,00:00:01,0000001381,   13.35,    323700
0000000001,00:00:01,0000001381,   13.40,    333700
0000000001,00:00:01,0000001381,   13.45,    316100
0000000001,00:00:01,0000001381,   13.50,    319700
0000000001,00:00:01,0000001381,   13.55,    325800
0000000001,00:00:01,0000001381,   13.60,    312900
0000000001,00:00:01,0000001381,   13.65,    324500
0000000001,00:00:01,0000001381,   13.70,    314800
0000000001,00:00:01,0000001381,   13.75,    318600
0000000001,00:00:01,0000001381,   13.80,    317700
0000000001,00:00:01,0000001381,   13.85,    308600
0000000001,00:00:01,0000001381,   13.90,    318600
0000000001,00:00:01,0000001381,   13.95,    305000
0000000001,00:00:01,0000001381,   14.00,    298700
0000000001,00:00:01,0000001381,   14.05,    299500
0000000001,00:00:01,0000001381,   14.10,    303600
0000000001,00:00:01,0000001381,   14.15,    309300
0000000001,00:00:01,0000001381,   14.20,    291300
0000000001,00:00:01,0000001381,   14.25,    291800
0000000001,00:00:01,0000001381,   14.30,    302900
0000000001,00:00:01,0000001381,   14.35,    287400
0000000001,00:00:01,0000001381,   14.40,    283600
0000000001,00:00:01,0000001381,   14.45,    278900
